County Name,Total Consumption MMBtu,Total Expenditure US Dollars
Columbia,10436652.806318456,96132273.69163328
Lake,329745.093513774,7598578.2796624005
Tillamook,3164812.1114083263,45122144.754280455
Crook,1132719.3072373094,21996792.460465044
Josephine,4443761.879781581,92392283.9634659
Lincoln,7691824.19425946,79854097.27414833
Curry,877395.1352702731,25071501.338077985
Multnomah,61833795.19546379,1125312340.3014493
Polk,3729412.077029139,69131113.90408804
Lane,26998761.23449822,529478361.2110879
Yamhill,8065381.646544812,136535146.68223155
Baker,1946783.3204114768,30732824.969352193
Coos,3245950.874857943,71481376.0779596
Sherman,107040.09487972756,2403368.416772993
Union,1927531.7989969996,31322160.272773746
Deschutes,11377378.071548136,201475817.08525428
Gilliam,95149.54173240304,1592228.4497440516
Malheur,4414675.574514204,57600796.36428645
Washington,40391271.276944496,733086965.9745979
Douglas,7149851.962612234,133414534.12650895
Grant,306932.65300386463,6681828.258197305
Hood River,1479999.1782343346,25144980.31858388
Linn,9303110.390627388,155411589.81805715
Harney,292906.2644441892,6455337.321590913
Klamath,6094749.90079797,102306923.14485225
Jackson,13734004.550893582,266037377.66053244
Jefferson,3358066.322200074,50594659.29181094
Wheeler,73415.60866656732,1618573.542666045
Benton,5388590.0622685,95797682.02570793
Clackamas,27820451.961973,494986304.3477777
Clatsop,7491259.270590068,90890432.86300279
Marion,20936752.67730187,379761730.07463175
Wallowa,325392.30423128017,7822968.17702041
Morrow,3828054.9793449068,34303415.64817525
Wasco,1101063.613271587,18853648.415576182
Umatilla,4340725.77242358,72927671.8142981
